"","subtype","GD"
"1","01_AE",0.019943297
"2","01_AE",0.028339402
"3","01_AE",0
"4","01_AE",6e-09
"5","01_AE",0.045834327
"6","01_AE",0.026583566
"7","01_AE",0.029117202
"8","01_AE",0.054397872
"9","01_AE",0.033095098
"10","01_AE",0.029974638
"11","01_AE",0.022699847
"12","01_AE",0.023520259
"13","01_AE",0.047511667
"14","01_AE",0.039371604
"15","01_AE",0.017446937
"16","01_AE",0.022371173
"17","01_AE",0.023789528
"18","01_AE",0.021983531
"19","01_AE",0.008772719
"20","01_AE",0.001179385
"21","01_AE",0.0018872
"22","01_AE",0
"23","01_AE",0.012646443
"24","01_AE",0.021148617
"25","01_AE",0.020304079
"26","01_AE",0.026048108
"27","01_AE",0.021115601
"28","01_AE",0.000939667
"29","01_AE",0.005947583
"30","01_AE",0.021149981
"31","01_AE",0.001833777
"32","01_AE",0
"33","01_AE",0.004684202
"34","01_AE",0.001860258
"35","01_AE",0.000973583
"36","01_AE",0.016813524
"37","01_AE",0.017895825
"38","01_AE",0.010127649
"39","01_AE",0.012938504
"40","01_AE",0.024583464
"41","01_AE",0.007219318
"42","01_AE",0.010066368
"43","01_AE",0.012524283
"44","01_AE",0.004543285
"45","01_AE",0.018803415
"46","01_AE",0.007817027
"47","01_AE",0.024215188
"48","01_AE",0.022041115
"49","01_AE",0.026503427
"50","01_AE",0.031798605
"51","01_AE",5e-09
"52","01_AE",0.017191924
"53","01_AE",0.033296309
"54","01_AE",0.049625507
"55","01_AE",0.028184242
"56","01_AE",0.041084383
"57","01_AE",0.029584351
"58","01_AE",0.00708793
"59","01_AE",0.044705371
"60","01_AE",0.048432971
"61","01_AE",0.032474317
"62","01_AE",0.054840052
"63","01_AE",0.07186136
"64","01_AE",0.007235421
"65","01_AE",0.000926964
"66","01_AE",0.017492886
"67","01_AE",0.027966137
"68","01_AE",0.020439023
"69","01_AE",0.004831554
"70","01_AE",0.045195794
"71","01_AE",0.032017116
"72","01_AE",0.001889348
"73","01_AE",0.035424754
"74","01_AE",0.014960036
"75","01_AE",0.012772274
"76","01_AE",0.048470608
"77","01_AE",0.046452928
"78","01_AE",0.001884135
"79","01_AE",0.044341588
"80","01_AE",0.044303213
"81","01_AE",0.025216444
"82","01_AE",0.019934961
"83","01_AE",0.046603885
"84","01_AE",0.029758541
"85","01_AE",0.019497237
"86","01_AE",0.020559655
"87","01_AE",0.005698655
"88","01_AE",0.023237083
"89","01_AE",0.012370698
"90","01_AE",0.033836501
"91","01_AE",0.02898723
"92","01_AE",0.012136201
"93","01_AE",0.002839548
"94","01_AE",0.00283199
"95","01_AE",0.006736234
"96","01_AE",0.014852246
"97","01_AE",0.019289787
"98","01_AE",0.025224729
"99","01_AE",0.015111001
"100","01_AE",0.004748652
"101","01_AE",0.011533818
"102","01_AE",0.008594183
"103","01_AE",0.012524733
"104","01_AE",0.004372127
"105","01_AE",0.020614551
"106","01_AE",0.023511734
"107","01_AE",0.006640503
"108","01_AE",0.007767173
"109","01_AE",0.006840302
"110","01_AE",0.008805405
"111","01_AE",0.010556192
"112","01_AE",0.006407314
"113","01_AE",0.037298412
"114","01_AE",0
"115","01_AE",0.029705333
"116","01_AE",0.0155755
"117","01_AE",0.010011601
"118","01_AE",0.033256005
"119","01_AE",0.001316215
"120","01_AE",0.022293794
"121","01_AE",0.019764271
"122","01_AE",0.034427866
"123","01_AE",0.026579464
"124","01_AE",0.030676994
"125","01_AE",0.021982214
"126","01_AE",0.030111079
"127","01_AE",0.053612943
"128","01_AE",0.022399993
"129","01_AE",0.03707903
"130","01_AE",0.038027636
"131","01_AE",0.041275917
"132","01_AE",0.047780426
"133","01_AE",0.052221434
"134","01_AE",0.04281885
"135","01_AE",0.05136226
"136","01_AE",0.001908622
"137","01_AE",0.025270091
"138","01_AE",0.008603289
"139","01_AE",0.034831701
"140","01_AE",0.022666393
"141","01_AE",0.02385299
"142","01_AE",0.037418089
"143","01_AE",0.001871467
"144","01_AE",0.01792645
"145","01_AE",0.033090256
"146","01_AE",0.039395495
"147","01_AE",0.04837667
"148","01_AE",5e-09
"149","01_AE",0.043493211
"150","01_AE",0.025348471
"151","01_AE",0.002212385
"152","01_AE",0.041146632
"153","01_AE",0
"154","01_AE",0.001857469
"155","01_AE",0.00442321
"156","01_AE",5e-09
"157","01_AE",0.035617573
"158","01_AE",0.045739288
"159","01_AE",0.002634471
"160","01_AE",0.033530418
"161","01_AE",0.008343677
"162","01_AE",0.008821951
"163","01_AE",0.037922414
"164","01_AE",0.033960585
"165","01_AE",5e-09
"166","01_AE",0.050669459
"167","01_AE",0.00860308
"168","01_AE",0.024984982
"169","01_AE",0.018769088
"170","01_AE",0.012453673
"171","01_AE",0.029759811
"172","01_AE",0.037849864
"173","01_AE",0.019587215
"174","01_AE",0.020220796
"175","01_AE",0.01721612
"176","01_AE",0.008623104
"177","01_AE",0.040657989
"178","01_AE",0.030431317
"179","01_AE",0.041994845
"180","01_AE",0.031555211
"181","01_AE",0.022395105
"182","01_AE",0.021984714
"183","01_AE",0.022683621
"184","01_AE",0.020934575
"185","01_AE",0.019947064
