state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyline
0	-140022.727491334	-18325.8889772762	-121696.838514057	1480.29476394238	1	1	1	1	1	1	1	1	1	1	10	10	10	10	10	10	10	10	10	9	2	2	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1	0.333333333333333	0.990199257060521	0.357298417266341	-0.0110914846285089	-121696.838514057	-1047.07687207752	-10151.3688479157
100000	-13062.3461814944	-3925.85028510398	-9136.49589639042	1321.35083321709	158.773062453563	244.502758336721	142.433467082823	73.3891956220003	102.150395770238	61.4063111285987	33.011140168907	70.3746210152376	6.03149848110287	13.0984748726382	9	2	24	5	20	8	1	9	2	19	5.06087709047291	3.88015511880512	0.406536662977323	0.163612795818146	0.208255179949591	0.221595361254942	0.143225128377866	0.000903149408055275	0.952513666897868	0.000583038169297872	1.11771699700042	0.0789087586391969	-9136.49589639042	-1047.07687207752	-519.949066031365
200000	-13065.5346884366	-3963.64464965808	-9101.89003877849	1323.79521717223	287.393618438418	182.405366944093	76.4834471065282	199.630106419776	147.806741203977	85.293011724688	105.277850632571	49.3352599841729	15.284436259142	15.9483355668897	14	1	4	21	17	12	4	3	17	6	5.28340215682732	3.69288166523808	0.369481502202433	0.168591326739933	0.227206443329972	0.234720727727663	0.147878424371339	0.000601866374119247	0.85659452864259	0.000438188799975883	0.853342455977946	-0.128195165634281	-9101.89003877849	-1047.07687207752	-556.677809820453
300000	-13112.580115952	-4013.59468107486	-9098.98543487717	1345.93980362355	829.172239286934	108.807724395353	451.041648339907	396.831448744145	286.243019368072	179.916013868806	808.886952083301	111.067299253547	213.237991745667	19.7575628018109	9	11	15	8	2	17	1	12	1	23	5.6298851056665	3.50710722180633	0.395106327894939	0.168667261601186	0.219054721711351	0.217171688792525	0.142261973501338	0.000327465973915607	0.380293874543471	0.000305713387699662	0.391685664541321	0.0124649800951943	-9098.98543487717	-1047.07687207752	-593.023984255459
400000	-13141.3504679543	-4076.97738120774	-9064.37308674652	1335.76813177628	3096.15646176213	1695.0004437252	1194.20159318687	655.31428952932	181.855686700859	318.914234590046	173.874750694568	108.378472488622	275.884300836922	23.9742394832173	6	7	17	11	8	16	9	14	2	9	5.01300780867812	3.15558750539623	0.392680134466317	0.182413605120496	0.206765206941032	0.218141053472156	0.146205922813792	0.000220823573944157	0.306157830962773	0.00022672843505791	0.307210959536754	0.156985843126506	-9064.37308674652	-1047.07687207752	-657.433890991064
500000	-13158.6320160004	-4072.38296149857	-9086.24905450182	1349.20168778067	3642.50233731265	982.983477079509	1087.83160242635	967.379044509643	704.604072988942	200.000028129297	110.81826544916	34.9851205824442	106.050048221982	5.11238217558874	8	2	19	4	21	10	10	18	3	4	4.98309389883938	2.71552002344686	0.384436967725776	0.174695751572466	0.208869530654399	0.23199775004736	0.153422729279511	0.000238711085943049	0.31921875921823	0.000225790645483569	0.326249870598034	-0.0446539618470376	-9086.24905450182	-1047.07687207752	-654.637239465518
600000	-13118.9089478922	-4053.74364476393	-9065.16530312828	1324.5998102707	2847.36082150085	4532.71951368013	133.703032780909	749.765484607215	188.465331141829	166.938331971077	57.762103528642	46.4874691463251	20.2510303718175	5.86461543604224	3	4	12	23	22	14	4	10	5	2	6.57762025888232	3.35333459926102	0.377444254728545	0.176690491877693	0.215656523969155	0.230208729424609	0.148235788467393	0.000220130573994069	0.417536579054623	0.000205294910858916	0.430935939250048	-0.0989626497655277	-9065.16530312828	-1047.07687207752	-637.235002797316
700000	-13165.4736266799	-4098.49386486881	-9066.97976181105	1347.042469319	1543.63552074551	884.337892849812	570.189981570351	771.804781790456	1158.87469909967	509.411423678417	244.028705136824	78.3356831061476	163.188925229895	48.2502639858848	5	1	2	37	2	9	17	10	1	15	5.53064228258978	3.59707630083219	0.383526204471479	0.171133213345243	0.211722662952103	0.233617919231176	0.142749057761743	0.000219294985159717	0.275713635663638	0.000214124127382874	0.28840492078011	-0.151781433055433	-9066.97976181105	-1047.07687207752	-679.297159345158
800000	-13157.7384564857	-4084.35676225428	-9073.3816942314	1327.02158091907	1770.55493572114	415.12976703713	1672.55374945649	1179.01146278177	2907.005583561	519.568589964603	364.870015029478	55.0887919497157	53.1419514735405	31.0689865120834	4	15	12	7	2	25	7	19	2	6	5.92212250332285	3.53350607856143	0.388541952423782	0.170623758265094	0.219320344387919	0.221513944923206	0.149015538950301	0.00020512921281038	0.247447877382464	0.000199187915277462	0.232545076765518	0.0338217101543724	-9073.3816942314	-1047.07687207752	-662.195421955907
900000	-13179.3080264508	-4101.92966246945	-9077.3783639814	1375.22999818712	5177.11003105168	1011.5612290838	968.709338755292	184.609551839813	350.86065017639	230.241493522023	64.6317135971457	128.450982093548	60.7057829699478	38.9685357805033	7	14	20	8	6	26	7	3	5	3	5.13823220170323	2.86390945983373	0.389039941115134	0.164673400654675	0.223669667983512	0.22261699024668	0.143715688914262	0.000196808369965045	0.249115376410007	0.000184162161284132	0.253060427114149	-0.0499586881438351	-9077.3783639814	-1047.07687207752	-685.926300946281
