"","subtype","vloop","lower","upper"
"1","01_AE+",1,0.0618681366638367,0.0886834694602238
"2","01_AE+",2,0.0543482617779384,0.0769136301425609
"3","01_AE+",3,0.00204802363456267,0.00506094868679262
"4","01_AE+",4,0.0454516348271734,0.0650265836944731
"5","01_AE+",5,0.0417525982877603,0.0595870076423739
"6","02_AG+",1,0,0
"7","02_AG+",2,0.0422944959031345,0.0929092372662007
"8","02_AG+",3,0.00105903210605134,0.00478358607018156
"9","02_AG+",4,0.025060882215919,0.0476729302899535
"10","02_AG+",5,0.0198945856577255,0.0386011504889282
"11","A1+",1,0.044347131213994,0.0772912799552141
"12","A1+",2,0.0405201119823516,0.07062473137409
"13","A1+",3,0.00315613040850831,0.00763867960808717
"14","A1+",4,0.0412912525242423,0.0724341877668019
"15","A1+",5,0.0181440309012664,0.0309066788570866
"16","B+",1,0.0292408667467926,0.035235928040662
"17","B+",2,0.0192061661087475,0.0229598113131929
"18","B+",3,0.00196637880897304,0.0027514265937451
"19","B+",4,0.023624849290322,0.0283281169804423
"20","B+",5,0.0169954905660476,0.0202906206608043
"21","C+",1,0.0479982287417368,0.0606468454339919
"22","C+",2,0.037397801313518,0.0466215835839774
"23","C+",3,0.00354558211533722,0.00523341348780088
"24","C+",4,0.0384924702830752,0.0479970400690587
"25","C+",5,0.0319178486228639,0.039622212146481
"26","D+",1,0.0313693634182077,0.066749889530652
"27","D+",2,0.0306069397619989,0.067583973299414
"28","D+",3,0.00467194576015347,0.0147796455478488
"29","D+",4,0.0446119683554058,0.0996178355564439
"30","D+",5,0.0166519403132165,0.0361333638103087
"31","F1+",1,0.0374910736729074,0.128992788679703
"32","F1+",2,0.0217851532884739,0.0689335714849629
"33","F1+",3,0,0
"34","F1+",4,0.015818050533015,0.0506876252043632
"35","F1+",5,0.0204400169255685,0.0679541019494958
