"","subtype","vloop","rate"
"1","01_AE+",1,0.0742039578649215
"2","01_AE+",2,0.06480792297461
"3","01_AE+",3,0.00332964618274652
"4","01_AE+",4,0.0545202896176454
"5","01_AE+",5,0.0500371678859369
"6","02_AG+",1,0
"7","02_AG+",2,0.0622175431038964
"8","02_AG+",3,0.0024714569778216
"9","02_AG+",4,0.0348585446022601
"10","02_AG+",5,0.0280232326113313
"11","A1+",1,0.0585877932676598
"12","A1+",2,0.0535650599628508
"13","A1+",3,0.00506847038570282
"14","A1+",4,0.0547421577911262
"15","A1+",5,0.0238897441355051
"16","B+",1,0.0321064934161488
"17","B+",2,0.0210130967627014
"18","B+",3,0.00233682271825708
"19","B+",4,0.0258814552939382
"20","B+",5,0.0185845014514058
"21","C+",1,0.0539600751160668
"22","C+",2,0.041784695023982
"23","C+",3,0.00433452679909708
"24","C+",4,0.0430107565247113
"25","C+",5,0.0355964453598787
"26","D+",1,0.0463015025055283
"27","D+",2,0.0459963913945116
"28","D+",3,0.00875690065394248
"29","D+",4,0.0670296542174686
"30","D+",5,0.0250479632608214
"31","F1+",1,0.070684710878337
"32","F1+",2,0.0398607111676259
"33","F1+",3,6.47509586144786e-09
"34","F1+",4,0.029375987911925
"35","F1+",5,0.0383118522179203
