,subtype,VR1_three,VR1_six+,VR2_three,VR2_six+,VR3_three,VR3_six+,VR4_three,VR4_six+,VR5_three,VR5_six+
1,01_AE,36,,,,,2,,37,,56
2,02_AG,8,,,,,0,,33,,10
3,A1,15,,,,,1,,45,,13
4,A6,3,,,,,0,,10,,0
5,BC,4,,,,,0,,13,,14
6,B,110,,,,,9,,333,,358
7,C,63,,,,,3,,156,,206
8,D,6,,,,,3,,15,,12
9,F1,6,,,,,0,,0,,6
,,55,,,,,,,,,
,,9,,,,,,,,,
,,18,,,,,,,,,
,,8,,,,,,,,,
,,9,,,,,,,,,
,,147,,,,,,,,,
,,106,,,,,,,,,
,,13,,,,,,,,,
,,4,,,,,,,,,
,,15,,,,,,,,,
,,13,,,,,,,,,
,,17,,,,,,,,,
,,5,,,,,,,,,
,,0,,,,,,,,,
,,135,,,,,,,,,
,,104,,,,,,,,,
,,10,,,,,,,,,
,,0,,,,,,,,,
,,38,,,,,,,,,
,,12,,,,,,,,,
,,18,,,,,,,,,
,,11,,,,,,,,,
,,13,,,,,,,,,
,,273,,,,,,,,,
,,148,,,,,,,,,
,,14,,,,,,,,,
,,2,,,,,,,,,
,,53,,,,,,,,,
,,11,,,,,,,,,
,,17,,,,,,,,,
,,3,,,,,,,,,
,,8,,,,,,,,,
,,227,,,,,,,,,
,,111,,,,,,,,,
,,10,,,,,,,,,
,,3,,,,,,,,,
,,139,,,,,,,,,
,,34,,,,,,,,,
,,51,,,,,,,,,
,,22,,,,,,,,,
,,16,,,,,,,,,
,,598,,,,,,,,,
,,345,,,,,,,,,
,,30,,,,,,,,,
,,9,,,,,,,,,
,,125,,,,,,,,,
,,40,,,,,,,,,
,,67,,,,,,,,,
,,17,,,,,,,,,
,,24,,,,,,,,,
,,459,,,,,,,,,
,,379,,,,,,,,,
,,24,,,,,,,,,
,,8,,,,,,,,,
