"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","JN681251","KJ948661",22.2178,15.2198,FALSE,0,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"2","KT022413","AF484491",25.0535,19.0494,TRUE,18,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"3","HM215321","KX907373",17.3019,16.9131,TRUE,7,FALSE,0,FALSE,0,TRUE,9,FALSE,0
"4","KY658699","HM204625",7.05033,8.04965,TRUE,6,TRUE,18,FALSE,0,FALSE,0,TRUE,6
"5","KX983685","AY669700",27.5523,12.0534,TRUE,3,TRUE,6,FALSE,0,FALSE,0,TRUE,6
"6","HQ615972","KT022393",21.7881,17.3227,TRUE,3,TRUE,9,FALSE,0,TRUE,12,TRUE,3
"7","AF457087","GU201611",15.7469,21.7483,TRUE,3,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"8","AY734563","KX907377",17.9703,19.5884,FALSE,0,TRUE,18,FALSE,0,TRUE,9,TRUE,3
"9","AY734552","KX907381",17.5594,21.4088,TRUE,30,TRUE,21,FALSE,0,FALSE,0,FALSE,0
"10","KJ541838","AF067156",31.2645,15.3778,TRUE,4,TRUE,1,TRUE,3,FALSE,0,TRUE,15
"11","KF716471","KF716469",6.70123,6.70123,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"12","FJ623489","KU749431",19.5055,24.5048,TRUE,12,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"13","KX907354","AF484501",22.6275,18.6986,TRUE,6,TRUE,12,FALSE,0,TRUE,3,FALSE,0
"14","KX907362","AY253318",29.7697,25.7204,TRUE,7,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"15","AY253319","AY253315",16.2984,17.2949,TRUE,6,TRUE,42,FALSE,0,FALSE,0,TRUE,3
"16","HQ615977","JF680922",27.5157,28.17,TRUE,18,TRUE,27,TRUE,3,TRUE,15,TRUE,3
"17","FJ647147","KT022395",21.9993,25.1205,TRUE,3,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"18","KX907409","KX907410",0,0.00273785,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"19","KU921802","KU921793",5.41586,5.86293,FALSE,0,TRUE,9,FALSE,0,TRUE,15,FALSE,0
"20","JX508870","JX508872",0.996396,0.996396,TRUE,3,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"21","AF457061","AF539404",20.4442,16.8426,TRUE,6,TRUE,6,FALSE,0,TRUE,6,FALSE,0
"22","KX907427","KX907403",23.72,23.9801,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"23","KX907418","KX907369",21.167,19.1766,TRUE,3,TRUE,18,FALSE,0,FALSE,0,TRUE,3
"24","KT175205","KC911635",16.4667,26.75,TRUE,8,TRUE,15,FALSE,0,TRUE,15,TRUE,4
"25","KX907367","AY734562",21.4695,20.3907,TRUE,9,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"26","AY669768","KY580512",11.5564,26.5598,TRUE,6,TRUE,9,FALSE,0,FALSE,0,TRUE,5
"27","KU865852","KU865901",0.360688,0.960277,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"28","HM215309","KX907386",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"29","KX907379","HM215304",0.340451,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
