"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KT427823","KT427746",40.7924,39.7958,TRUE,30,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"2","AY771588","DQ383755",26.9185,33.9165,TRUE,4,FALSE,0,FALSE,0,TRUE,3,TRUE,6
"3","GU595151","JN692448",31.2601,31.7994,TRUE,15,FALSE,0,FALSE,0,TRUE,6,TRUE,3
"4","DQ085870","DQ085869",5.22376,4.51352,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"5","JN251898","KT427668",27.1688,36.1654,TRUE,15,FALSE,0,FALSE,0,TRUE,6,TRUE,3
"6","KJ849810","KT427651",36.9994,36.0028,TRUE,6,TRUE,9,FALSE,0,FALSE,0,TRUE,3
"7","JF804810","KT427825",31.7438,36.7431,TRUE,6,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"8","KT427649","KT427652",35.3585,36.3551,FALSE,0,FALSE,0,FALSE,0,TRUE,6,TRUE,9
"9","JN251899","DQ383753",24.6739,27.6719,TRUE,9,TRUE,3,FALSE,0,FALSE,0,TRUE,9
"10","JN251905","KU678139",21.5142,32.5861,TRUE,6,TRUE,21,FALSE,0,FALSE,0,FALSE,0
"11","DQ383747","AY536238",24.2996,23.3031,TRUE,4,TRUE,3,FALSE,0,TRUE,3,TRUE,9
"12","JX140661","JN251900",32.6705,26.6664,TRUE,12,TRUE,6,FALSE,0,FALSE,0,TRUE,9
"13","KJ849774","HM026455",32.9575,28.9602,TRUE,6,TRUE,3,FALSE,0,FALSE,0,TRUE,9
"14","AY669782","AY455781",13.2769,14.9251,TRUE,3,TRUE,6,FALSE,0,TRUE,12,FALSE,0
"15","L22084","AY455782",14.089,22.0917,TRUE,12,TRUE,9,FALSE,0,FALSE,0,TRUE,9
"16","AF005495","KT427710",16.4448,33.4441,FALSE,0,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"17","DQ358812","DQ358804",21.1392,19.1433,TRUE,9,TRUE,9,FALSE,0,FALSE,0,TRUE,24
"18","AB480300","AB480298",24.0241,23.8954,TRUE,3,TRUE,15,FALSE,0,FALSE,0,TRUE,12
"19","GU595150","KJ849768",29.2954,37.0107,TRUE,12,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"20","GQ372989","KT276271",11.2108,16.8644,TRUE,9,TRUE,12,FALSE,0,FALSE,0,TRUE,12
"21","GU595148","KT427809",34.8295,42.2792,TRUE,45,TRUE,3,FALSE,0,FALSE,0,TRUE,9
"22","DQ358806","KX181924",26.2915,35.2936,TRUE,24,FALSE,0,FALSE,0,TRUE,3,TRUE,6
"23","JN251903","JN251902",26.3421,26.3421,TRUE,3,TRUE,6,FALSE,0,FALSE,0,TRUE,6
"24","FJ904244","KJ849793",32.0682,34.0175,TRUE,11,TRUE,6,FALSE,0,FALSE,0,TRUE,15
"25","JX140660","HQ236610",21.6302,19.6316,TRUE,30,TRUE,9,FALSE,0,FALSE,0,TRUE,3
"26","GU595160","GU595149",3.70917,3.05756,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"27","KU749408","KX181927",33.9485,36.9492,FALSE,0,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"28","KX028412","KX017078",3.31391,3.31391,FALSE,0,FALSE,0,FALSE,0,TRUE,4,FALSE,0
"29","KJ849794","KJ849826",40.6623,39.6657,TRUE,21,TRUE,36,FALSE,0,TRUE,3,TRUE,12
"30","KJ849802","KT427839",23.5131,23.5131,FALSE,0,TRUE,3,FALSE,0,TRUE,15,TRUE,9
"31","DQ085867","DQ085868",24.0546,23.058,TRUE,15,FALSE,0,TRUE,3,TRUE,27,FALSE,0
"32","KT427871","KJ849757",28.901,27.9044,TRUE,36,TRUE,9,TRUE,3,TRUE,3,FALSE,0
"33","GU595162","GU595156",15.6741,15.6741,FALSE,0,TRUE,6,FALSE,0,FALSE,0,TRUE,6
"34","GU595161","KJ849772",33.9601,42.494,TRUE,32,TRUE,15,TRUE,3,FALSE,0,FALSE,0
"35","DQ085875","AY771589",25.9868,23.9882,TRUE,47,TRUE,3,FALSE,0,TRUE,3,TRUE,9
"36","JF804805","JN251897",30.4236,28.4195,TRUE,15,FALSE,0,FALSE,0,FALSE,0,TRUE,9
