"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","FJ623491","KT022396",23.9384,20.9404,TRUE,39,FALSE,0,FALSE,0,TRUE,7,FALSE,0
"2","KU921705","AF457078",32.0091,20.4455,TRUE,6,FALSE,0,TRUE,3,FALSE,0,TRUE,3
"3","AF457059","KU921748",22.6594,33.6628,TRUE,24,TRUE,12,TRUE,3,TRUE,3,FALSE,0
"4","AF071473","KT022388",17.3442,28.3422,TRUE,17,TRUE,21,FALSE,0,TRUE,3,FALSE,0
"5","JX203116","KY658698",31.2138,31.5204,FALSE,0,TRUE,15,FALSE,0,TRUE,2,FALSE,0
"6","KT022392","KP174771",25.7219,31.7206,FALSE,0,TRUE,3,FALSE,0,TRUE,3,FALSE,0
"7","AF484520","KF859746",27.5166,36.5214,FALSE,0,TRUE,3,FALSE,0,TRUE,3,TRUE,9
"8","DQ912822","AF484496",22.7411,24.7424,TRUE,29,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"9","KU921799","KU921798",17.2453,17.2453,TRUE,6,TRUE,6,FALSE,0,TRUE,6,TRUE,3
"10","KU865944","KU865931",4.62149,3.87679,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"11","AF442566","KJ948659",24.2872,26.2885,TRUE,36,TRUE,6,FALSE,0,TRUE,12,FALSE,0
"12","AF457082","HQ615969",20.8722,28.2972,TRUE,3,TRUE,42,FALSE,0,TRUE,3,FALSE,0
"13","HM215260","KP109493",24.8288,29.8309,TRUE,9,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"14","FJ647149","KP109491",28.0331,35.7812,TRUE,3,TRUE,15,TRUE,3,TRUE,3,TRUE,3
"15","KU866010","KU865994",5.89397,5.4039,TRUE,9,TRUE,12,FALSE,0,TRUE,9,FALSE,0
"16","AF442569","AF407148",24.282,22.2834,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"17","HM215261","KX907355",1.09305,1.02187,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"18","KT022404","KT022409",31.0123,30.0157,FALSE,0,TRUE,15,FALSE,0,TRUE,3,TRUE,9
"19","KX907376","HM215301",0.163537,0.544098,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"20","KU866070","KU866035",3.33614,3.30328,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"21","KY580473","AF484488",38.1351,27.1317,TRUE,12,TRUE,6,TRUE,3,TRUE,3,FALSE,0
"22","KU143199","KU143197",7.49808,6.11272,FALSE,0,TRUE,18,FALSE,0,FALSE,0,FALSE,0
"23","KF716481","AF484482",32.9318,21.9339,TRUE,40,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"24","AF457058","EU281997",21.0836,17.0864,TRUE,6,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"25","AF484521","EU110090",17.4559,22.4525,TRUE,45,TRUE,6,TRUE,3,TRUE,3,TRUE,6
"26","AF484522","KT022389",16.3976,23.3956,FALSE,0,TRUE,9,TRUE,3,TRUE,3,TRUE,3
"27","KP109497","AF484517",26.956,15.9526,TRUE,3,TRUE,12,FALSE,0,TRUE,12,FALSE,0
"28","KF716468","KT022417",34.9817,31.981,TRUE,6,TRUE,6,TRUE,3,TRUE,9,FALSE,0
"29","KX228808","KF716484",2.33072,2.33072,TRUE,15,FALSE,0,FALSE,0,FALSE,0,TRUE,12
"30","HM027863","HM027859",5.62293,5.96243,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"31","HM027869","HM027864",3.83365,3.83365,TRUE,30,TRUE,15,FALSE,0,FALSE,0,TRUE,6
"32","KT022399","HM215323",27.1033,26.0985,TRUE,42,TRUE,6,TRUE,3,FALSE,0,FALSE,0
"33","KF716483","KF716485",31.6272,33.6231,FALSE,0,TRUE,6,TRUE,3,TRUE,18,FALSE,0
"34","JX658625","JX658657",3.72841,5.20137,FALSE,0,FALSE,0,FALSE,0,TRUE,6,TRUE,6
