"","subtype","tip1.label","tip2.label","tip1.len","tip2.len","total.length","VR1.indel","VR1.nt","VR1.len","VR2.indel","VR2.nt","VR2.len","VR3.indel","VR3.nt","VR3.len","VR4.indel","VR4.nt","VR4.len","VR5.indel","VR5.nt","VR5.len"
"1","AE","AY358049","AY358061",8.35442,8.38423,16.73865,FALSE,6,84,FALSE,3,124.5,TRUE,0,105,FALSE,30,78,FALSE,6,30
"2","AE","AY945728","EU743759",14.1331,22.1331,36.2662,FALSE,15,91.5,FALSE,3,121.5,TRUE,0,105,FALSE,15,76.5,FALSE,3,31.5
"3","AE","AY358052","AY358051",9.09545,7.09682,16.19227,FALSE,54,84,FALSE,6,126,TRUE,0,105,FALSE,3,85.5,FALSE,3,34.5
"4","AE","JN388081","AY358059",22.6468,14.6496,37.2964,FALSE,42,102,FALSE,6,117,TRUE,0,105,FALSE,36,78,FALSE,3,31.5
"5","AE","JX512894","KU230428",0.235455,0,0.235455,TRUE,0,87,TRUE,0,117,TRUE,0,108,TRUE,0,69,TRUE,0,39
"6","AE","KF835518","JX446916",15.8611,15.911,31.7721,FALSE,12,75,FALSE,12,129,TRUE,0,105,FALSE,24,66,FALSE,3,31.5
"7","AE","JN860761","JN388191",17.3058,18.3199,35.6257,FALSE,3,94.5,FALSE,9,127.5,TRUE,0,105,FALSE,21,76.5,FALSE,6,30
"8","AE","JX447359","KF835533",17.7772,17.2452,35.0224,FALSE,6,66,FALSE,12,141,TRUE,0,105,FALSE,6,90,FALSE,6,45
"9","AE","KF835502","JX112867",18.2132,19.7683,37.9815,FALSE,3,85.5,FALSE,12,129,TRUE,0,105,FALSE,3,67.5,FALSE,12,33
"10","AE","JX447454","KJ952968",23.9417,16.9411,40.8828,FALSE,9,100.5,FALSE,9,121.5,TRUE,0,105,FALSE,9,82.5,FALSE,9,34.5
"11","AE","KP873161","KP873163",0,2.64476,2.64476,NA,NA,90,TRUE,0,135,TRUE,0,108,TRUE,0,96,FALSE,3,37.5
"12","AE","JN248328","JN388171",21.0795,24.0802,45.1597,TRUE,0,84,FALSE,21,130.5,TRUE,0,105,FALSE,15,88.5,FALSE,3,31.5
"13","AE","KT185941","KY213726",14.1213,12.8236,26.9449,FALSE,9,82.5,FALSE,3,136.5,TRUE,0,105,FALSE,9,79.5,FALSE,24,42
"14","AE","HM215418","KF835503",10.3653,10.2148,20.5801,FALSE,27,85.5,FALSE,6,123,TRUE,0,105,FALSE,24,72,FALSE,6,36
"15","AE","JX447535","JX448312",14.9392,17.9399,32.8791,FALSE,6,84,FALSE,3,121.5,TRUE,0,105,FALSE,3,82.5,TRUE,0,39
"16","AE","KF268039","KF268035",0.0363381,0.0363381,0.0726762,TRUE,0,75,TRUE,0,129,TRUE,0,105,TRUE,0,81,TRUE,0,30
"17","AE","KF268046","KF268041",2.26773,2.26773,4.53546,TRUE,0,90,TRUE,0,129,TRUE,0,105,TRUE,0,78,TRUE,0,30
"18","AE","DQ518412","AJ277818",14.3826,13.3833,27.7659,FALSE,18,87,FALSE,51,166.5,TRUE,0,105,FALSE,6,93,TRUE,0,33
"19","AE","AF197340","U51188",10.3826,10.3826,20.7652,FALSE,12,72,FALSE,21,151.5,TRUE,0,105,FALSE,3,94.5,FALSE,15,34.5
"20","AE","HQ691003","KC748972",16.7141,15.9721,32.6862,TRUE,0,87,FALSE,15,127.5,TRUE,0,105,FALSE,3,91.5,TRUE,0,33
"21","AE","KU230437","KU230435",24.0427,23.9031,47.9458,FALSE,3,88.5,FALSE,15,124.5,TRUE,0,105,FALSE,12,90,FALSE,3,31.5
"22","AE","JX447344","JN388221",17.7345,19.3821,37.1166,FALSE,9,91.5,FALSE,18,120,TRUE,0,105,FALSE,12,78,FALSE,6,33
"23","AE","AY713419","JX446728",14.2773,24.2759,38.5532,FALSE,27,109.5,FALSE,18,132,TRUE,0,105,FALSE,6,90,FALSE,9,34.5
"24","AE","AY358057","AY358060",12.3867,12.3867,24.7734,FALSE,3,79.5,FALSE,15,130.5,TRUE,0,105,FALSE,21,67.5,FALSE,6,36
"25","AE","JX112818","EF036527",14.1193,12.6299,26.7492,FALSE,21,97.5,FALSE,15,130.5,TRUE,0,105,FALSE,3,67.5,FALSE,3,43.5
"26","AE","JN388201","EF036529",20.5353,16.5381,37.0734,FALSE,3,85.5,FALSE,15,130.5,TRUE,0,105,FALSE,9,79.5,FALSE,3,31.5
