"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","HQ659623","EF151809",27.6782,23.659,FALSE,0,TRUE,4,FALSE,0,FALSE,0,TRUE,3
"2","KF986006","KF986021",5.85937,5.85937,FALSE,0,FALSE,0,FALSE,0,TRUE,6,TRUE,6
"3","EU853078","EU853086",8.17602,8.17602,TRUE,18,TRUE,12,FALSE,0,TRUE,15,FALSE,0
"4","EU853126","EU853134",7.88391,7.88118,TRUE,3,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"5","AF484486","JX203061",22.5451,30.6628,FALSE,0,TRUE,6,FALSE,0,TRUE,6,TRUE,3
"6","KF986114","KF986074",5.28036,5.1462,TRUE,3,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"7","KU921810","KU921814",15.3437,15.3437,FALSE,0,FALSE,0,FALSE,0,TRUE,6,TRUE,3
"8","AF484489","HM068556",27.7082,35.5603,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"9","AF484487","EU281998",27.6295,24.6343,TRUE,9,TRUE,15,TRUE,3,TRUE,3,FALSE,0
"10","EU853046","EU853054",4.92166,4.92166,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"11","KF716476","EF151810",41.1307,26.1327,TRUE,12,TRUE,3,TRUE,3,FALSE,0,FALSE,0
"12","AY669756","AF484499",15.4263,21.8062,FALSE,0,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"13","KF986139","KF986131",4.58004,4.64301,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"14","AF484498","AF484502",22.4085,22.4058,TRUE,12,TRUE,6,TRUE,3,TRUE,9,FALSE,0
"15","AF484483","AY669750",19.4472,14.4451,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"16","JX202976","AF391548",25.4051,11.3079,TRUE,3,TRUE,3,TRUE,3,TRUE,3,FALSE,0
"17","KF986106","KF986123",6.91615,6.79294,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"18","EU853102","EU853094",2.17766,2.17218,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"19","GQ245681","AF205863",23.9216,19.9244,TRUE,24,TRUE,15,FALSE,0,TRUE,3,FALSE,0
"20","KF986041","KF986090",7.21169,7.33763,TRUE,10,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"21","HQ615975","AY669753",27.9322,11.5133,FALSE,0,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"22","L22949","AF484480",13.9888,21.9916,TRUE,12,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"23","EU852934","EU852942",3.0644,3.0644,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
