"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KF725917","HM204606",25.3031,22.3791,TRUE,30,FALSE,0,FALSE,0,TRUE,3,TRUE,3
"2","JX239287","JX213375",2.66524,2.66524,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"3","HM036792","KY229565",6.73099,6.56398,FALSE,0,TRUE,12,FALSE,0,TRUE,9,TRUE,11
"4","HQ595747","FJ443690",29.7119,28.7099,TRUE,9,TRUE,3,FALSE,0,TRUE,12,TRUE,6
"5","FJ444230","DQ351229",23.0325,23.6102,FALSE,0,TRUE,27,TRUE,3,TRUE,6,TRUE,3
"6","KC634109","KC634136",19.4753,19.6752,TRUE,12,FALSE,0,FALSE,0,FALSE,0,TRUE,12
"7","KP109524","HM070791",28.6436,28.2247,TRUE,3,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"8","GU329144","AY734558",24.4003,22.3962,TRUE,25,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"9","HM215302","KC187461",22.0247,29.9426,TRUE,24,TRUE,12,FALSE,0,FALSE,0,TRUE,6
"10","KF725964","KC187374",28.5298,28.1301,FALSE,0,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"11","JN983803","DQ351227",19.4885,19.8171,FALSE,0,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"12","GU329333","EU863433",28.9317,24.2403,FALSE,0,TRUE,3,FALSE,0,TRUE,3,FALSE,0
"13","DQ164118","KT982201",20.7891,30.7795,TRUE,8,TRUE,12,FALSE,0,TRUE,9,TRUE,6
"14","HM215344","KX907433",0.469529,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"15","KY229356","HM036983",7.32074,7.23587,TRUE,24,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"16","GU329289","AY444800",22.8838,16.8797,TRUE,45,TRUE,12,FALSE,0,TRUE,6,FALSE,0
"17","HM204617","JX239327",32.4484,28.2814,TRUE,27,TRUE,3,TRUE,3,TRUE,9,TRUE,9
"18","HM623559","AY901968",21.5417,16.5615,TRUE,4,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"19","KF725993","KF725920",27.0418,26.7214,TRUE,9,TRUE,15,FALSE,0,FALSE,0,TRUE,3
"20","HM623582","AY878060",27.6547,22.6965,FALSE,0,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"21","FJ443474","GU080189",26.5226,29.4274,TRUE,33,TRUE,3,FALSE,0,TRUE,1,TRUE,3
"22","AY505005","GU080196",20.7475,26.7516,TRUE,9,TRUE,9,TRUE,3,FALSE,0,TRUE,3
"23","AY772692","DQ382379",29.7392,31.7406,TRUE,34,TRUE,3,FALSE,0,TRUE,2,TRUE,6
"24","HM623600","KF725968",25.9853,26.938,TRUE,6,TRUE,30,FALSE,0,TRUE,9,TRUE,3
"25","FJ846628","DQ445633",20.0081,22.188,TRUE,15,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"26","AY901981","DQ275660",18.9804,19.2295,TRUE,43,TRUE,12,FALSE,0,FALSE,0,FALSE,0
