"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","JN054269","EU786670",9.39929,5.1255,TRUE,8,TRUE,15,TRUE,3,FALSE,0,FALSE,0
"2","GU332513","HQ236581",9.39038,8.98244,TRUE,6,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"3","KX389631","KT276261",24.1423,28.7802,TRUE,15,TRUE,36,TRUE,3,FALSE,0,TRUE,3
"4","KX389615","AF069937",27.3084,13.192,TRUE,9,TRUE,21,FALSE,0,TRUE,9,FALSE,0
"5","JN106043","KX389620",20.3687,22.4275,TRUE,19,TRUE,15,FALSE,0,FALSE,0,FALSE,0
"6","KX389636","DQ168576",24.502,16.8087,TRUE,9,TRUE,12,FALSE,0,FALSE,0,TRUE,6
"7","KX389648","DQ168575",26.4594,16.2445,TRUE,12,TRUE,18,FALSE,0,FALSE,0,FALSE,0
"8","JN248591","FJ389363",21.6276,17.6249,FALSE,0,FALSE,0,FALSE,0,TRUE,9,FALSE,0
"9","KP109502","KR017776",25.7681,21.7709,TRUE,21,TRUE,21,FALSE,0,FALSE,0,FALSE,0
"10","JN248586","KX389641",10.5811,13.1273,TRUE,6,TRUE,18,FALSE,0,TRUE,3,TRUE,12
"11","KX389618","KX389635",24.8325,24.4328,TRUE,45,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"12","AF069935","AF069947",12.0217,11.3912,TRUE,9,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"13","HQ236564","GQ324613",19.0682,20.7054,TRUE,4,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"14","DQ168573","DQ168579",13.9184,14.915,TRUE,45,TRUE,3,FALSE,0,TRUE,6,FALSE,0
"15","EU885764","KX389642",27.7272,32.4363,TRUE,21,TRUE,27,TRUE,3,FALSE,0,TRUE,6
"16","AY586548","AY586549",11.1538,12.1504,TRUE,9,TRUE,39,FALSE,0,FALSE,0,FALSE,0
"17","KR051442","FJ389367",24.7736,17.7784,FALSE,0,TRUE,12,FALSE,0,TRUE,12,FALSE,0
"18","KR051426","KR051418",23.018,24.0146,TRUE,14,FALSE,0,FALSE,0,TRUE,14,FALSE,0
"19","EU885763","HQ236613",18.3261,21.7156,TRUE,3,TRUE,12,TRUE,3,FALSE,0,TRUE,3
"20","JN054285","GU362882",0.235718,0.235718,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"21","JN054258","EU885759",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"22","JN054265","FJ670530",10.1734,9.95986,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"23","JN054296","JN054287",17.3232,17.0933,TRUE,24,FALSE,0,FALSE,0,TRUE,3,TRUE,6
"24","GQ222686","EU885762",5.76673,0.228062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"25","EU885761","FJ817368",4.87409,7.66944,FALSE,0,TRUE,3,FALSE,0,TRUE,3,TRUE,6
"26","HQ236615","GQ222687",6.24849,5.81043,TRUE,3,FALSE,0,FALSE,0,FALSE,0,TRUE,12
"27","KR051438","AY772535",20.9048,8.90754,TRUE,18,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"28","KY229519","KY229533",0.761344,0.679209,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"29","AJ630579","KP718915",15.8858,22.8892,FALSE,0,TRUE,21,FALSE,0,FALSE,0,TRUE,6
"30","AJ630580","JX140676",20.3535,32.3535,TRUE,4,FALSE,0,FALSE,0,TRUE,9,FALSE,0
"31","JN248584","U88826",29.3859,11.3873,TRUE,30,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"32","HM067749","FJ389366",25.1724,22.3825,FALSE,0,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"33","KJ669940","KJ669955",3.82571,5.27677,TRUE,9,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"34","AF061642","AY231155",19.6878,22.5223,TRUE,3,TRUE,15,FALSE,0,FALSE,0,TRUE,3
