"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","AY669699","HQ659612",7.62142,14.6413,TRUE,12,FALSE,0,FALSE,0,TRUE,27,TRUE,6
"2","EU110093","KX907351",12.1175,14.1517,TRUE,24,TRUE,12,FALSE,0,TRUE,9,FALSE,0
"3","HM215280","AF075702",20.9227,9.92197,TRUE,8,TRUE,15,TRUE,3,TRUE,3,FALSE,0
"4","KF716489","KT022400",22.3467,16.3508,TRUE,1,FALSE,0,FALSE,0,TRUE,6,TRUE,6
"5","KU921715","KU749430",20.9945,18.9931,TRUE,31,TRUE,27,FALSE,0,TRUE,9,FALSE,0
"6","AF457056","KF716470",12.1144,21.1165,TRUE,51,TRUE,15,FALSE,0,TRUE,4,FALSE,0
"7","KX907396","KT022401",14.7502,15.4648,TRUE,7,TRUE,9,FALSE,0,TRUE,6,FALSE,0
"8","HM215288","KX907365",1.29527,1.83463,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"9","KX907344","KT022415",15.6245,18.2419,TRUE,6,TRUE,24,FALSE,0,FALSE,0,TRUE,9
"10","KX907370","KU921765",11.9229,17.8339,TRUE,45,TRUE,12,TRUE,3,TRUE,3,FALSE,0
