"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KF835528","KF835527",13.7363,13.7363,TRUE,24,TRUE,6,FALSE,0,FALSE,0,TRUE,3
"2","HM215422","HQ699977",0.268329,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"3","GQ916592","JX512896",27.2555,28.6354,TRUE,12,TRUE,9,FALSE,0,FALSE,0,TRUE,6
"4","DQ789392","JX447132",14.288,21.2859,TRUE,3,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"5","JN248318","JN248338",11.2588,11.8319,TRUE,6,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"6","JX447773","JX447177",21.8545,22.8511,TRUE,12,TRUE,12,TRUE,3,TRUE,9,FALSE,0
"7","AB703616","JN248327",26.2577,19.2598,TRUE,6,TRUE,6,FALSE,0,FALSE,0,TRUE,6
"8","JF680932","KU143207",7.81701,4.37006,TRUE,12,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"9","EU743789","GQ916574",16.8133,17.5717,TRUE,36,TRUE,39,FALSE,0,TRUE,6,FALSE,0
"10","DQ314732","DQ314731",7.65225,7.65225,TRUE,3,TRUE,15,FALSE,0,TRUE,18,TRUE,6
"11","KU230422","GQ916589",26.7757,24.5855,TRUE,3,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"12","AY945717","AY945725",6.39403,7.39335,TRUE,3,TRUE,6,FALSE,0,FALSE,0,TRUE,3
"13","JX112865","JX112862",3.36256,3.36256,TRUE,30,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"14","EU743773","EU743771",0.637407,0.637407,FALSE,0,TRUE,12,FALSE,0,FALSE,0,TRUE,3
"15","JN388211","JN248355",21.6024,19.3416,TRUE,12,TRUE,48,FALSE,0,FALSE,0,TRUE,12
"16","AY945732","AY444804",14.5916,15.5909,FALSE,0,TRUE,3,FALSE,0,TRUE,4,FALSE,0
"17","JX447529","JN388091",22.3531,26.3531,TRUE,3,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"18","KF268039","KF268035",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"19","KF268046","KF268041",1.65252,1.65252,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"20","JN388141","AY713420",21.0293,9.03206,TRUE,6,TRUE,21,FALSE,0,TRUE,3,TRUE,3
"21","JX512898","EU743758",23.0578,20.1886,TRUE,12,FALSE,0,FALSE,0,FALSE,0,TRUE,15
"22","JX447344","JN388221",19.1215,20.1235,TRUE,3,TRUE,9,FALSE,0,TRUE,6,TRUE,3
"23","HM215410","JX447349",17.9403,16.9437,TRUE,30,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"24","AY444805","AF197341",20.4288,12.74,TRUE,21,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"25","DQ518412","AJ277818",16.74,15.7407,TRUE,15,TRUE,51,FALSE,0,TRUE,3,FALSE,0
"26","AF197340","U51188",12.74,12.74,TRUE,4,TRUE,21,FALSE,0,FALSE,0,TRUE,9
"27","KF835536","KF835516",24.3441,24.3441,FALSE,0,TRUE,18,FALSE,0,TRUE,3,FALSE,0
"28","KF835538","JX112820",22.1425,22.0658,TRUE,3,FALSE,0,FALSE,0,TRUE,3,TRUE,6
"29","HQ699993","HM215427",3.7254,3.7254,FALSE,0,FALSE,0,FALSE,0,TRUE,6,TRUE,3
"30","KJ952991","JX447235",12.1269,23.1249,FALSE,0,FALSE,0,FALSE,0,TRUE,3,TRUE,3
"31","JX447978","KJ952242",15.1696,9.16819,FALSE,0,TRUE,3,FALSE,0,TRUE,3,TRUE,3
"32","AY945727","JX448198",17.4012,23.4053,TRUE,6,TRUE,3,FALSE,0,TRUE,6,TRUE,6
"33","JX447480","AY713424",23.6499,13.6485,TRUE,18,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"34","JX112869","DQ859178",3.78645,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"35","KU230420","JX447294",9.62004,3.67343,TRUE,12,TRUE,18,FALSE,0,FALSE,0,FALSE,0
"36","JN944656","JX447746",17.2543,19.7142,TRUE,21,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"37","AY358041","JX447875",16.1023,23.0975,TRUE,12,TRUE,21,FALSE,0,FALSE,0,FALSE,0
"38","JN860761","KU230418",17.2248,20.6471,TRUE,27,TRUE,18,FALSE,0,FALSE,0,FALSE,0
"39","KF835514","GQ916571",27.7389,27.4952,TRUE,24,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"40","AY358036","AY358038",1.39069,1.70018,FALSE,0,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"41","KJ952917","KJ952897",2.84456,3.53139,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"42","AY358048","AY358039",1.10165,0.550021,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"43","JX447412","JX446728",21.2847,23.2833,TRUE,39,TRUE,6,FALSE,0,TRUE,4,FALSE,0
"44","KC748972","JX448217",16.8285,17.5787,TRUE,36,TRUE,12,TRUE,3,TRUE,3,TRUE,9
"45","HM215419","HQ699986",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"46","AY358037","AY358062",1.11375,2.11033,FALSE,0,FALSE,0,FALSE,0,TRUE,10,FALSE,0
"47","JX447395","KF835519",19.0389,21.7357,TRUE,17,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"48","KU230417","JX446698",18.7456,15.8571,TRUE,11,TRUE,21,FALSE,0,TRUE,12,TRUE,18
"49","HM215378","JX112804",6.10013,9.15831,TRUE,3,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"50","JX960630","JX960626",14.5174,15.2128,TRUE,6,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"51","KP109508","KP109506",16.8223,15.8203,TRUE,9,TRUE,12,FALSE,0,TRUE,3,FALSE,0
"52","JX960632","JX960631",11.5541,10.7109,TRUE,36,TRUE,9,FALSE,0,TRUE,7,FALSE,0
"53","HQ215553","JX960637",7.76561,8.15986,TRUE,3,TRUE,9,FALSE,0,FALSE,0,TRUE,6
"54","JX960624","JX960623",4.49744,4.05939,FALSE,0,TRUE,3,FALSE,0,TRUE,1,FALSE,0
"55","JX960619","JX960620",6.723,6.77775,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"56","JX960621","JX960617",5.93876,5.08455,TRUE,3,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"57","JX112847","JX112846",8.26244,8.26244,TRUE,9,TRUE,6,FALSE,0,FALSE,0,TRUE,3
"58","HM215371","JX960629",7.03748,10.6323,TRUE,6,TRUE,6,FALSE,0,FALSE,0,TRUE,3
"59","HM215389","JX112849",12.9342,15.4311,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"60","JX960612","JX960614",1.84911,2.79915,FALSE,0,TRUE,3,FALSE,0,TRUE,10,TRUE,3
"61","JX960636","HM215376",9.28568,7.89759,TRUE,3,TRUE,6,FALSE,0,FALSE,0,TRUE,3
"62","JX960638","JX960634",8.91349,9.05586,TRUE,11,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"63","KM218302","HM215383",1.81756,0.815506,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"64","JX112856","KP109504",3.24347,5.16733,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"65","JX446848","JX446655",19.396,18.3967,TRUE,6,TRUE,6,FALSE,0,TRUE,15,TRUE,3
"66","KT185941","KY213726",13.5552,12.2574,TRUE,12,TRUE,3,FALSE,0,FALSE,0,TRUE,21
"67","JN248328","JN388171",21.5089,25.5089,FALSE,0,TRUE,21,FALSE,0,TRUE,8,FALSE,0
"68","HQ691003","AY358057",18.0724,14.0779,TRUE,12,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"69","JX447266","JX446910",16.371,17.5976,TRUE,15,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"70","JX447018","KF268036",13.8571,21.8571,TRUE,18,TRUE,15,FALSE,0,FALSE,0,TRUE,3
"71","AY358045","AY358044",7.39215,6.39557,TRUE,15,FALSE,0,FALSE,0,TRUE,3,TRUE,3
"72","KJ953089","JX448279",14.2315,20.2302,TRUE,39,FALSE,0,TRUE,3,TRUE,3,TRUE,6
"73","FJ185247","AF070703",13.4532,10.4552,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"74","EF036535","AY713421",19.8143,9.8428,TRUE,18,TRUE,3,FALSE,0,TRUE,3,TRUE,12
"75","JX512892","KU230427",0.521676,0.521676,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"76","HM215418","KF835503",10.7918,10.6412,TRUE,24,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"77","AY358064","AF070710",16.957,12.9542,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"78","KJ953664","KJ953596",1.30677,0.307456,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"79","AF205864","AY669776",5.31264,4.40605,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"80","AY945716","KJ952689",12.7832,10.7845,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"81","JX446942","JX447608",20.177,19.1804,FALSE,0,TRUE,21,FALSE,0,TRUE,6,TRUE,42
"82","GU475029","KF835542",13.6528,12.8944,TRUE,6,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"83","HM215373","HM215367",10.3769,9.54514,TRUE,6,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"84","JX960604","JX960605",0.0456825,0.138769,FALSE,0,FALSE,0,FALSE,0,TRUE,4,FALSE,0
"85","HQ699987","HM215424",1.12128,1.12313,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"86","JX112801","JX112806",12.101,12.1037,TRUE,15,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"87","JX112802","HM215394",10.8636,9.8041,TRUE,30,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"88","KC596065","JX960609",2.19846,0.563961,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"89","AB735900","AB735899",0,0.999316,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"90","AB735901","AB735898",0.999316,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"91","JX112807","JX112852",2.68583,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"92","JX112808","HM215372",16.6908,13.6217,TRUE,21,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"93","HM215379","JX112796",7.92503,10.9421,TRUE,21,FALSE,0,FALSE,0,TRUE,1,FALSE,0
"94","JX112853","GU475026",11.8821,12.4242,TRUE,6,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"95","JX112870","HM215385",12.7656,10.2822,TRUE,18,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"96","JX960639","JX112803",9.71407,9.85643,TRUE,3,TRUE,15,FALSE,0,FALSE,0,TRUE,2
"97","HQ691020","AY358050",19.1975,12.9635,TRUE,14,TRUE,48,FALSE,0,TRUE,3,FALSE,0
"98","KU230437","KU230435",25.4205,25.2809,TRUE,9,TRUE,12,FALSE,0,TRUE,12,FALSE,0
"99","JX447427","JX446775",20.6525,20.6525,TRUE,9,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"100","EU743777","EU743776",0.778768,0.778768,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"101","EF036532","DQ859180",9.67679,9.67679,FALSE,0,TRUE,12,FALSE,0,TRUE,3,TRUE,3
