"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KF835541","HQ699957",10.0657,9.24163,FALSE,0,TRUE,36,FALSE,0,TRUE,12,FALSE,0
"2","HQ699953","HQ699952",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"3","KF835512","KF835501",10.6334,10.8004,FALSE,0,TRUE,36,FALSE,0,TRUE,3,TRUE,1
"4","HQ699958","HQ699960",0.60273,0.543901,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"5","HQ699964","HQ699961",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"6","KU820840","KF835500",18.1968,12.1543,TRUE,18,TRUE,6,FALSE,0,TRUE,9,TRUE,7
"7","HQ699972","HQ699973",2.67055,2.34464,TRUE,27,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"8","KF835535","KF835529",9.77736,9.77736,TRUE,4,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"9","HQ700001","KF835496",12.015,11.5386,TRUE,6,TRUE,3,FALSE,0,TRUE,27,TRUE,3
"10","HM215417","HQ699976",0.709107,0.709107,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"11","KF835493","KC914396",9.82648,3.32683,FALSE,0,TRUE,9,FALSE,0,TRUE,9,TRUE,12
"12","HQ699975","HQ700004",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"13","HQ699970","HQ699969",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"14","AY008715","AY008716",0,0,TRUE,4,FALSE,0,FALSE,0,TRUE,12,FALSE,0
"15","AB773884","KF250368",3.34395,9.34532,TRUE,3,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"16","HQ699967","HQ699966",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"17","KF835509","KF835534",10.0184,10.0841,TRUE,6,TRUE,30,FALSE,0,FALSE,0,FALSE,0
