"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KU749404","GU481636",12.6563,7.50918,TRUE,5,TRUE,15,FALSE,0,FALSE,0,FALSE,0
"2","HQ385841","HQ385843",8.57965,9.57623,TRUE,39,TRUE,24,FALSE,0,FALSE,0,FALSE,0
"3","GU481203","HQ385824",4.42645,8.29549,TRUE,100,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"4","JF952015","JF952012",0.949223,0.670095,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"5","JF952016","GU481107",0,8.61875,TRUE,3,TRUE,3,FALSE,0,TRUE,7,FALSE,0
"6","HQ338114","GU481519",7.8386,8.0987,TRUE,3,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"7","GU481277","GU481421",10.2605,8.60957,FALSE,0,TRUE,3,FALSE,0,TRUE,3,FALSE,0
"8","HQ385838","GU481392",6.34069,6.94028,TRUE,6,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"9","GU481661","HQ385837",11.0377,8.45864,TRUE,30,TRUE,9,TRUE,3,FALSE,0,FALSE,0
"10","HQ338115","HQ385834",8.40714,9.40372,TRUE,13,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"11","JQ292900","HQ385840",9.25792,8.26134,TRUE,3,TRUE,15,FALSE,0,FALSE,0,FALSE,0
"12","GU481371","HQ338116",10.4658,10.5507,FALSE,0,TRUE,12,FALSE,0,TRUE,3,FALSE,0
"13","HQ616088","JX500695",10.3512,12.3936,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"14","JF952018","GU481566",10.665,9.95868,TRUE,39,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"15","KU749407","HQ338117",15.8496,9.85096,TRUE,36,TRUE,15,FALSE,0,FALSE,0,TRUE,3
"16","EU668986","EU668985",13.8745,13.8554,TRUE,28,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"17","FJ895349","FJ895348",3.15952,3.35117,TRUE,36,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"18","KU749403","FJ864679",18.771,15.5185,TRUE,1,TRUE,12,TRUE,3,TRUE,6,FALSE,0
"19","JF683798","GU481615",11.7053,9.42463,TRUE,6,TRUE,9,TRUE,3,TRUE,3,TRUE,3
"20","AY829210","KY658682",7.20793,18.2059,FALSE,0,TRUE,3,FALSE,0,TRUE,3,FALSE,0
"21","HQ896489","JX500694",9.58709,14.2113,TRUE,15,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"22","DQ823366","EF589042",6.61209,6.61483,TRUE,24,TRUE,9,FALSE,0,TRUE,15,FALSE,0
"23","DQ823361","EU668987",2.85207,7.36405,TRUE,29,TRUE,6,FALSE,0,TRUE,15,FALSE,0
"24","EU668976","EU668975",7.60064,7.60064,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"25","HQ385835","JX500696",9.63419,13.3166,TRUE,27,TRUE,15,FALSE,0,TRUE,3,FALSE,0
"26","JF952017","JF327807",7.45407,7.45681,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"27","HQ338113","HQ385821",8.2766,7.27728,TRUE,8,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"28","JF683763","JF683780",2.18206,3.02468,FALSE,0,TRUE,12,FALSE,0,TRUE,6,FALSE,0
"29","HQ616093","HQ385811",11.3728,9.57951,TRUE,1,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"30","EF589043","EF589044",0.980352,1.31499,TRUE,12,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"31","HQ385820","HQ338111",6.06178,6.06178,FALSE,0,TRUE,1,FALSE,0,TRUE,15,FALSE,0
"32","DQ823359","DQ823360",4.74179,3.74521,TRUE,12,FALSE,0,FALSE,0,TRUE,9,FALSE,0
"33","AY500393","EF589039",2.30025,2.24584,TRUE,15,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"34","AY829203","AY829212",0.950744,0.332495,TRUE,6,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"35","AY829211","AY829209",4.30931,3.31273,FALSE,0,TRUE,3,FALSE,0,TRUE,3,FALSE,0
"36","AF413978","AF082486",4.70897,1.70828,TRUE,9,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"37","KU749405","HQ616085",16.5128,12.1131,TRUE,2,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"38","FJ388892","KU749399",10.4656,16.1248,TRUE,12,TRUE,12,FALSE,0,TRUE,3,TRUE,3
"39","HQ338112","DQ823357",9.90809,4.90603,TRUE,6,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"40","KU749400","DQ207944",16.3656,4.96354,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0
