"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","AB231895","EU480466",30.1909,31.1874,TRUE,6,TRUE,6,FALSE,0,TRUE,6,FALSE,0
"2","EU480468","EU668974",26.3454,27.7472,TRUE,6,TRUE,6,FALSE,0,TRUE,3,TRUE,3
"3","AY444809","EU480456",28.4765,32.4765,TRUE,12,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"4","AY444811","KX389621",25.7055,34.7431,TRUE,42,FALSE,0,FALSE,0,TRUE,3,TRUE,24
"5","KU168310","KC247962",24.9728,27.1466,FALSE,0,TRUE,9,FALSE,0,TRUE,6,TRUE,3
"6","HM215290","HQ595796",21.146,30.1644,TRUE,3,TRUE,39,TRUE,3,FALSE,0,FALSE,0
"7","HQ616097","HQ616086",13.0498,12.9101,TRUE,30,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"8","EU480463","AB231896",33.6954,32.6988,TRUE,11,TRUE,51,FALSE,0,FALSE,0,FALSE,0
"9","KX389643","EU480471",36.1671,29.5936,TRUE,15,TRUE,6,FALSE,0,TRUE,21,FALSE,0
"10","HQ385454","KR709172",10.7248,21.824,TRUE,9,TRUE,21,FALSE,0,FALSE,0,FALSE,0
"11","EU480455","HQ385455",29.2249,35.2262,TRUE,12,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"12","DQ168577","JN248580",22.7065,28.7024,TRUE,11,TRUE,9,FALSE,0,FALSE,0,TRUE,15
"13","JN248589","DQ313247",35.2758,29.2717,FALSE,0,TRUE,9,FALSE,0,TRUE,3,TRUE,3
"14","AB286862","JN248585",27.8486,33.2777,TRUE,6,TRUE,9,FALSE,0,TRUE,6,FALSE,0
"15","KX389610","EU513199",34.12,23.812,TRUE,21,TRUE,18,FALSE,0,TRUE,6,FALSE,0
"16","JF683795","AY371130",29.554,23.5499,TRUE,13,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"17","KX389624","KX389640",21.5875,23.3534,FALSE,0,TRUE,3,TRUE,3,TRUE,6,FALSE,0
"18","JX140647","KX228823",0.452131,0.440812,TRUE,30,FALSE,0,FALSE,0,TRUE,9,FALSE,0
"19","EU480470","DQ869018",32.2899,29.5243,TRUE,3,TRUE,3,FALSE,0,TRUE,6,TRUE,12
"20","EU480460","EU480476",25.7743,27.7729,TRUE,18,TRUE,30,FALSE,0,TRUE,3,FALSE,0
"21","AY371140","AY371142",17.2071,17.2043,TRUE,42,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"22","KU168267","KX389649",21.3862,33.5997,TRUE,37,FALSE,0,FALSE,0,TRUE,6,FALSE,0
"23","HM215264","HQ385457",24.6469,18.651,TRUE,9,FALSE,0,TRUE,3,TRUE,6,FALSE,0
"24","EU513191","EU513195",28.179,28.179,FALSE,0,FALSE,0,TRUE,3,TRUE,3,FALSE,0
"25","AY371139","EU513198",22.3629,26.3602,TRUE,6,TRUE,30,FALSE,0,TRUE,15,FALSE,0
"26","GU201500","JF706428",25.0868,28.5474,TRUE,27,TRUE,18,FALSE,0,TRUE,9,FALSE,0
"27","EU513193","JF683799",26.4874,31.4868,TRUE,6,TRUE,12,TRUE,3,FALSE,0,FALSE,0
