"","subtype","tip1.label","tip2.label","tip1.len","tip2.len","total.length"
"1","01_AE","JN388111","AY945731",0.044341588,0.039033324,0.083374912
"2","01_AE","JX447300","JX446888",0.044303213,0.044363545,0.088666758
"3","01_AE","KU230417","GQ916578",0.025216444,0.035803443,0.061019887
"4","01_AE","JX447018","KF268036",0.019934961,0.037439381,0.057374342
"5","01_AE","JX447726","JX447117",0.046603885,0.029823257,0.076427142
"6","01_AE","JX446910","JX447266",0.029758541,0.022854127,0.052612668
"7","01_AE","AF209206","DQ859179",0.019497237,0.033110176,0.052607413
"8","01_AE","KJ952562","JX446775",0.020559655,0.030315126,0.050874781
"9","01_AE","KJ953611","AY125894",0.005698655,0.022426335,0.02812499
"10","01_AE","FJ185237","FJ185258",0.023237083,0.018242371,0.041479454
"11","01_AE","FJ185260","FJ185239",0.012370698,0.016417971,0.028788669
"12","01_AE","GQ845125","JX112830",0.033836501,0.025109186,0.058945687
"13","01_AE","GU475019","GU475015",0.02898723,0.034224441,0.063211671
"14","01_AE","JX112816","JX112810",0.012136201,0.011156079,0.02329228
"15","01_AE","FJ185230","FJ185228",0.002839548,0.00380299,0.006642538
"16","01_AE","FJ185236","FJ185231",0.00283199,0.009549457,0.012381447
"17","01_AE","FJ185232","FJ185234",0.006736234,0.002896812,0.009633046
"18","01_AE","JX112833","GU475032",0.014852246,0.022881065,0.037733311
"19","01_AE","GU475035","GU475034",0.019289787,0.018131763,0.03742155
"20","01_AE","GU475038","GU475043",0.025224729,0.022170216,0.047394945
"21","01_AE","EU363850","GU564221",0.015111001,0.022861273,0.037972274
"22","01_AE","FJ185256","FJ185257",0.004748652,0.00284384,0.007592492
"23","01_AE","FJ185259","FJ185240",0.011533818,0.010538563,0.022072381
"24","01_AE","FJ185238","FJ185235",0.008594183,0.010546792,0.019140975
"25","01_AE","AY669772","JX447678",0.012524733,0.024868193,0.037392926
"26","01_AE","L03699","L03701",0.004372127,0.011495897,0.015868024
"27","01_AE","AF070712","AB220946",0.020614551,0.003917284,0.024531835
"28","01_AE","AF070707","AY713422",0.023511734,0.017096419,0.040608153
"29","01_AE","AB253424","AY669773",0.006640503,0.004725621,0.011366124
"30","01_AE","AB026050","AY713425",0.007767173,0.010671873,0.018439046
"31","01_AE","AB052995","L03703",0.006840302,0.007784175,0.014624477
"32","01_AE","AY669778","AB220945",0.008805405,0.010730141,0.019535546
"33","01_AE","AF070705","AY669775",0.010556192,0.005747858,0.01630405
"34","01_AE","AF219267","AY494967",0.006407314,0.013573131,0.019980445
"35","01_AE","JX447072","AY945713",0.037298412,0.020311165,0.057609577
"36","01_AE","HM215409","HQ699955",0,0,0
"37","01_AE","AY945722","FJ185250",0.029705333,0.009350324,0.039055657
"38","01_AE","KJ952505","AY669774",0.0155755,0.007687911,0.023263411
"39","01_AE","FJ185241","FJ185254",0.010011601,0.008404829,0.01841643
"40","01_AE","JX447814","GQ916580",0.033256005,0.045245073,0.078501078
"41","01_AE","AY358043","AY358065",0.001316215,0.00430365,0.005619865
