"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KT124762","KC248013",0,1.10883,FALSE,0,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"2","FJ388955","JQ403059",49.7284,49.7585,TRUE,24,TRUE,15,FALSE,0,TRUE,9,FALSE,0
"3","EF593188","JN786767",56.3223,51.5639,TRUE,3,FALSE,0,TRUE,3,TRUE,21,TRUE,6
"4","KU143200","JF506145",2.36986,2.09607,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"5","KT200356","KT427721",56.1264,57.123,TRUE,6,TRUE,6,TRUE,3,TRUE,9,TRUE,3
"6","KX129460","KX129444",13.2209,18.0887,TRUE,3,TRUE,9,FALSE,0,TRUE,27,TRUE,3
"7","KX505427","KY270561",53.0382,48.1155,TRUE,27,FALSE,0,FALSE,0,TRUE,3,TRUE,12
"8","JQ403038","JQ403037",0,0,TRUE,9,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"9","JQ250832","JF320259",8.44729,8.28028,TRUE,6,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"10","FJ653098","DQ869023",17.4436,14.777,FALSE,0,FALSE,0,FALSE,0,TRUE,12,TRUE,12
"11","GU331550","GU331496",0.0246407,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"12","JN692463","KT427675",24.9341,28.9369,TRUE,18,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"13","EF593272","HM234470",15.2547,14.7755,TRUE,21,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"14","KY057382","KJ849814",56.9838,52.0448,TRUE,30,TRUE,6,FALSE,0,TRUE,3,TRUE,15
"15","JF506143","KU143221",1.28109,1.54118,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"16","EF593191","EF593271",28.1295,27.2835,TRUE,36,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"17","KX792750","KX792725",0,0.0383299,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"18","EF154717","KX129372",47.8418,51.6912,TRUE,33,TRUE,3,FALSE,0,TRUE,3,TRUE,12
"19","KY658684","JF320012",59.0993,55.1842,TRUE,6,TRUE,6,FALSE,0,TRUE,3,TRUE,6
"20","KM354355","DQ869021",60.2015,54.797,TRUE,21,TRUE,15,FALSE,0,FALSE,0,TRUE,9
"21","KX129406","KC595165",25.6151,31.6548,TRUE,6,FALSE,0,FALSE,0,TRUE,33,TRUE,6
"22","JF506170","KY113735",32.857,40.8598,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"23","KY324805","HQ217708",50.4113,42.4086,TRUE,6,FALSE,0,FALSE,0,TRUE,12,TRUE,3
"24","KF725985","KT124813",71.9994,65.7544,TRUE,18,TRUE,12,TRUE,3,TRUE,15,TRUE,3
"25","KU168261","KX587239",61.509,68.37,TRUE,6,TRUE,3,FALSE,0,TRUE,12,TRUE,6
"26","FJ469682","FJ469724",20.3477,20.3012,TRUE,27,TRUE,6,FALSE,0,TRUE,6,TRUE,3
"27","KJ849801","KM354155",65.0914,62.3234,TRUE,26,TRUE,18,FALSE,0,TRUE,3,TRUE,6
"28","KT124767","HQ386140",62.678,51.795,TRUE,15,FALSE,0,FALSE,0,FALSE,0,TRUE,18
"29","JF683785","EF154771",61.6957,54.6977,TRUE,36,TRUE,69,FALSE,0,TRUE,6,TRUE,3
"30","KF726002","KF726008",47.1818,47.2009,TRUE,5,TRUE,24,FALSE,0,TRUE,3,TRUE,3
"31","HM204631","HM204645",12.8802,12.8802,FALSE,0,TRUE,21,FALSE,0,TRUE,3,TRUE,3
"32","JF506151","KU143117",3.3268,3.77307,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"33","JX140656","JX422200",3.42333,3.42606,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"34","FJ388963","EU668973",31.8162,31.433,TRUE,6,TRUE,9,FALSE,0,TRUE,9,FALSE,0
"35","KY465968","FJ853622",17.5708,12.2429,FALSE,0,FALSE,0,FALSE,0,TRUE,3,TRUE,3
"36","KU143161","JF506171",0.192685,0.151618,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"37","KU143185","JF506148",1.44599,1.10924,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"38","JF506128","KU143194",0.778997,1.69344,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"39","KU143109","JF506159",0,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0
"40","KU143179","JF506169",0,0.0684463,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"41","JF506131","KU143141",1.14424,1.16888,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"42","KX156440","KX156441",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"43","KX156443","KX156436",5.21688,6.21619,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"44","JF910265","JQ403023",51.641,45.6424,TRUE,5,TRUE,21,TRUE,3,TRUE,3,FALSE,0
"45","EF154728","DQ886037",51.5795,57.5781,TRUE,30,TRUE,6,FALSE,0,TRUE,18,FALSE,0
"46","HQ238279","GU330622",1.57054,1.82789,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"47","FJ147091","AY561237",46.0359,42.8354,TRUE,9,TRUE,18,FALSE,0,TRUE,9,TRUE,15
"48","KF526120","JF689893",34.9412,31.0288,FALSE,0,TRUE,3,FALSE,0,TRUE,3,TRUE,3
"49","AY751406","HQ595805",40.2421,45.3728,TRUE,15,FALSE,0,FALSE,0,TRUE,3,TRUE,9
"50","KX129240","KX129176",41.7068,40.4638,TRUE,18,TRUE,12,FALSE,0,FALSE,0,TRUE,3
"51","KM986883","KM986886",1.66113,3.47907,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,9
"52","KX587114","JQ403073",51.9866,48.6656,TRUE,9,TRUE,30,FALSE,0,FALSE,0,FALSE,0
"53","KF384802","KF990608",62.3136,56.5723,TRUE,42,TRUE,9,FALSE,0,FALSE,0,TRUE,3
"54","JF320387","KC473835",59.2797,64.1941,TRUE,18,TRUE,3,TRUE,3,TRUE,6,TRUE,12
"55","JF320186","JF320196",47.8512,48.0209,TRUE,3,TRUE,3,FALSE,0,TRUE,6,TRUE,3
"56","AY560107","KT124787",39.9393,54.9372,TRUE,9,FALSE,0,TRUE,3,TRUE,6,TRUE,3
"57","JQ403030","KR868894",2.14133,3.14065,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"58","KP109510","JX960599",16.5373,15.9979,FALSE,0,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"59","KC473846","AB588263",29.1901,30.1949,TRUE,16,TRUE,6,FALSE,0,TRUE,9,FALSE,0
"60","AB428559","AB428558",1.24805,0.817406,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"61","AB428562","AB428560",8.30356,6.30767,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"62","KF716497","AB480692",43.1715,36.8745,TRUE,15,TRUE,21,FALSE,0,TRUE,9,FALSE,0
"63","JQ403024","MF373201",42.4726,56.4685,FALSE,0,TRUE,18,FALSE,0,TRUE,6,TRUE,6
"64","KU143086","JF506139",0,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"65","KC699035","EF593288",47.3636,38.8571,TRUE,12,TRUE,15,TRUE,3,TRUE,3,TRUE,3
"66","AY247225","KJ704788",8.7094,9.70871,TRUE,9,FALSE,0,FALSE,0,TRUE,3,FALSE,0
