"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","AF457070","AF457053",28.5631,28.5631,TRUE,0,TRUE,0,FALSE,3,FALSE,12,TRUE,0
"2","AF407160","EU110094",19.2664,27.2664,TRUE,0,FALSE,3,TRUE,0,FALSE,3,TRUE,0
"3","AB287376","AY322184",21.8921,15.8907,FALSE,3,FALSE,6,TRUE,0,TRUE,0,TRUE,0
"4","EU853030","EU853038",4.76279,4.76279,FALSE,3,FALSE,6,TRUE,0,TRUE,0,TRUE,0
"5","KU921776","AF457077",35.3501,23.3528,FALSE,33,FALSE,3,FALSE,3,FALSE,3,TRUE,0
"6","AY905588","AY905583",11.8745,11.3489,TRUE,0,FALSE,3,TRUE,0,TRUE,0,FALSE,1
"7","JX508880","JX508878",5.13419,5.13419,FALSE,12,FALSE,6,TRUE,0,FALSE,6,TRUE,0
"8","EU110092","KT022382",30.1111,34.5003,TRUE,0,FALSE,6,TRUE,0,FALSE,6,TRUE,0
"9","FJ623485","HM215271",29.7294,31.7253,FALSE,24,FALSE,24,TRUE,0,FALSE,9,FALSE,27
"10","JF683767","AY713406",34.3982,20.3968,FALSE,18,FALSE,12,TRUE,0,TRUE,0,FALSE,3
"11","KT022377","KU921745",25.7283,31.727,FALSE,6,FALSE,21,TRUE,0,FALSE,4,TRUE,0
"12","MF373182","AF219261",42.7751,19.7772,FALSE,18,FALSE,12,TRUE,0,FALSE,5,FALSE,9
"13","FJ623477","AF457067",25.018,20.0159,FALSE,30,FALSE,21,TRUE,0,FALSE,18,TRUE,0
"14","HQ540689","KT022383",33.6334,29.836,FALSE,3,FALSE,3,TRUE,0,FALSE,3,FALSE,12
"15","KX907372","HM215298",1.82458,1.72875,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0
"16","KP109490","AF457075",30.5578,21.553,FALSE,15,FALSE,12,TRUE,0,FALSE,12,TRUE,0
"17","KT022384","KT022376",3.84393,2.57628,TRUE,0,TRUE,0,TRUE,0,TRUE,0,TRUE,0
"18","KT022372","KT022370",27.5373,26.5408,TRUE,0,FALSE,9,TRUE,0,FALSE,12,FALSE,3
"19","KY658694","KU921712",38.4038,42.4011,TRUE,0,FALSE,15,TRUE,0,FALSE,3,TRUE,0
"20","EU110087","AF069671",24.3689,18.3648,TRUE,0,FALSE,6,TRUE,0,TRUE,0,FALSE,3
"21","FJ623486","AF457069",29.2376,24.2355,FALSE,3,FALSE,6,TRUE,0,FALSE,15,TRUE,0
"22","KT022368","FJ623475",29.9269,30.9289,TRUE,0,FALSE,9,TRUE,0,TRUE,0,TRUE,0
"23","AF457080","HQ615970",24.2642,31.6865,TRUE,0,FALSE,6,TRUE,0,FALSE,3,TRUE,0
"24","KJ158436","KU921779",41.155,40.6348,FALSE,1,FALSE,18,TRUE,0,FALSE,6,FALSE,2
"25","KT022381","KU921752",31.2222,36.2215,FALSE,18,FALSE,6,TRUE,0,FALSE,6,TRUE,0
