"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","EU031914","KF835546",20.0603,20.9885,TRUE,9,FALSE,0,FALSE,0,FALSE,0,TRUE,3
"2","JN248316","JN248317",7.2931,8.17977,FALSE,0,FALSE,0,FALSE,0,TRUE,7,TRUE,9
"3","JX447827","JX447833",0.988103,3.91826,FALSE,0,TRUE,15,FALSE,0,FALSE,0,FALSE,0
"4","EF495062","KM111555",17.6045,21.9413,TRUE,15,TRUE,12,FALSE,0,FALSE,0,TRUE,9
"5","DQ366666","KT438784",17.7745,22.1112,TRUE,27,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"6","JN631793","JN248322",19.4731,18.9036,TRUE,15,TRUE,3,FALSE,0,FALSE,0,TRUE,6
"7","AY358069","AY961592",14.5247,11.5268,TRUE,6,TRUE,21,TRUE,1,FALSE,0,TRUE,15
"8","AY444812","AY961591",21.4557,22.4578,TRUE,9,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"9","KY658691","KY658692",21.2095,22.2061,FALSE,0,TRUE,9,FALSE,0,TRUE,9,TRUE,6
"10","AB097865","EU743760",22.9279,27.93,TRUE,3,TRUE,9,FALSE,0,FALSE,0,TRUE,6
"11","KT438782","JN248331",24.2965,19.2972,TRUE,21,TRUE,18,FALSE,0,FALSE,0,FALSE,0
"12","JX446927","JN248352",23.0252,21.4994,TRUE,6,TRUE,15,FALSE,0,TRUE,3,TRUE,6
"13","JN248326","JN248340",21.4308,23.0196,TRUE,12,FALSE,0,FALSE,0,FALSE,0,TRUE,6
"14","JN248319","GQ916570",25.0324,28.5259,TRUE,5,FALSE,0,TRUE,3,TRUE,3,FALSE,0
"15","EU743762","EU743761",3.989,3.989,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"16","KT999999","AY167123",32.4506,10.4465,FALSE,0,TRUE,6,FALSE,0,TRUE,3,FALSE,0
"17","KP418805","KP418806",5.54114,4.54457,FALSE,0,FALSE,0,TRUE,3,FALSE,0,FALSE,0
"18","KU501256","JX446997",31.612,24.5265,TRUE,9,FALSE,0,FALSE,0,TRUE,15,TRUE,3
"19","JN248323","JN860765",17.2053,19.2067,TRUE,17,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"20","JN248357","JX448016",26.1452,27.1418,TRUE,9,TRUE,15,FALSE,0,TRUE,12,FALSE,0
"21","AY358072","AY358071",8.55279,7.55347,TRUE,18,TRUE,3,FALSE,0,FALSE,0,TRUE,6
