"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","KF250409","GU362013",17.9203,12.921,TRUE,2,TRUE,18,FALSE,0,FALSE,0,TRUE,6
"2","HM215425","KC898987",13.8532,16.8511,TRUE,30,TRUE,3,FALSE,0,TRUE,9,FALSE,0
"3","KC898991","KC899014",16.0194,17.0159,TRUE,22,TRUE,9,FALSE,0,TRUE,15,FALSE,0
"4","HM776938","KU820851",15.4563,22.6376,TRUE,30,TRUE,3,FALSE,0,TRUE,6,TRUE,15
"5","KF250382","EU363841",13.8265,10.8313,TRUE,6,TRUE,12,FALSE,0,TRUE,3,FALSE,0
"6","KF835540","KF250381",14.8504,15.0229,FALSE,0,TRUE,6,FALSE,0,FALSE,0,TRUE,12
"7","AY967807","KF250380",1.641,1.641,TRUE,4,FALSE,0,FALSE,0,TRUE,3,FALSE,0
"8","KC898982","HM215401",7.42853,7.50507,TRUE,9,TRUE,27,FALSE,0,TRUE,6,TRUE,3
"9","KF250399","KC899015",14.3739,14.3712,TRUE,3,TRUE,9,FALSE,0,TRUE,12,TRUE,9
"10","KF835526","KF250397",13.4443,15.7468,TRUE,3,TRUE,3,FALSE,0,TRUE,6,TRUE,3
"11","KC898986","KF011493",14.1369,14.1396,FALSE,0,TRUE,6,FALSE,0,TRUE,3,TRUE,18
"12","KC898990","KC898984",3.15433,3.15433,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"13","HQ700003","KC898981",11.9102,12.9068,FALSE,0,TRUE,27,FALSE,0,TRUE,6,FALSE,0
"14","KF250406","KU820852",20.3822,23.235,TRUE,3,TRUE,15,FALSE,0,FALSE,0,TRUE,10
"15","KC899006","KC898978",9.22634,9.22634,TRUE,21,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"16","EF042692","AY967803",16.8537,8.85373,FALSE,0,TRUE,15,FALSE,0,TRUE,6,TRUE,3
"17","EU363845","EU363834",7.77502,10.7784,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"18","EU363833","KF250384",8.95211,12.8289,FALSE,0,TRUE,9,FALSE,0,TRUE,3,FALSE,0
"19","EU363835","HM215414",11.4429,12.4394,TRUE,18,TRUE,3,FALSE,0,TRUE,7,FALSE,0
"20","KF250410","KF835539",21.6473,16.4727,TRUE,3,TRUE,66,FALSE,0,TRUE,3,TRUE,24
"21","KF250379","AY967804",0,0,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"22","HM215404","KC899007",3.55723,3.55723,TRUE,8,FALSE,0,FALSE,0,TRUE,3,TRUE,3
"23","KF250405","HM598635",21.4018,17.4593,FALSE,0,TRUE,12,FALSE,0,TRUE,3,TRUE,6
"24","KY406739","KU820850",18.2688,19.1202,FALSE,0,TRUE,15,FALSE,0,TRUE,3,TRUE,6
"25","KF835525","KC899013",16.8272,18.1305,TRUE,6,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"26","HM215402","KC899010",20.1785,23.1764,TRUE,21,TRUE,30,FALSE,0,TRUE,3,TRUE,15
"27","KC898983","KC898985",16.4169,18.4183,TRUE,7,TRUE,3,FALSE,0,TRUE,30,FALSE,0
"28","KC898988","HM573466",18.631,18.3626,FALSE,0,TRUE,21,FALSE,0,TRUE,9,FALSE,0
"29","KF725902","EU839599",28.0893,24.2262,FALSE,0,TRUE,9,FALSE,0,TRUE,3,TRUE,3
"30","JN235957","GQ365649",14.9424,15.939,TRUE,18,TRUE,6,FALSE,0,TRUE,12,FALSE,0
"31","GQ365652","JN692442",17.2218,18.2211,TRUE,24,TRUE,9,FALSE,0,FALSE,0,FALSE,0
"32","GQ365651","KT427822",17.808,26.8073,FALSE,0,TRUE,15,FALSE,0,FALSE,0,TRUE,6
"33","KT427812","KT427790",20.7323,19.7358,TRUE,15,TRUE,3,FALSE,0,TRUE,12,TRUE,6
"34","KC596068","KT427760",26.3888,28.3929,TRUE,6,TRUE,3,FALSE,0,TRUE,3,TRUE,15
"35","KJ849795","KU143064",25.6391,20.4997,TRUE,5,TRUE,9,FALSE,0,TRUE,3,TRUE,3
"36","FJ388961","KF725906",21.2303,25.5808,TRUE,5,TRUE,15,FALSE,0,FALSE,0,TRUE,3
"37","KF835521","AB097873",22.7401,14.0709,TRUE,36,TRUE,3,FALSE,0,TRUE,3,TRUE,6
