"","tip1.label","tip2.label","tip1.len","tip2.len","VR1.indel","VR1.nt","VR2.indel","VR2.nt","VR3.indel","VR3.nt","VR4.indel","VR4.nt","VR5.indel","VR5.nt"
"1","AY173957","AB485656",9.61668,11.6126,TRUE,3,TRUE,3,FALSE,0,FALSE,0,FALSE,0
"2","FJ771006","KX181926",24.3918,33.3938,TRUE,3,TRUE,3,FALSE,0,FALSE,0,TRUE,12
"3","KX181922","DQ189088",35.9039,26.9019,TRUE,5,TRUE,6,FALSE,0,FALSE,0,TRUE,21
"4","KX181919","KJ849791",38.2415,36.2374,TRUE,27,TRUE,9,FALSE,0,FALSE,0,TRUE,9
"5","FJ771010","FJ771008",35.4243,33.4285,TRUE,6,TRUE,12,FALSE,0,FALSE,0,TRUE,3
"6","KX181920","KX181918",6.48605,5.65881,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"7","KX181925","KT427814",30.3063,28.3022,TRUE,3,FALSE,0,FALSE,0,TRUE,3,TRUE,15
"8","GU332508","KJ849782",38.8304,40.4649,TRUE,24,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"9","GQ290462","HQ236587",48.7448,48.7448,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"10","FJ817372","KU749396",46.5764,50.7461,TRUE,27,TRUE,21,FALSE,0,FALSE,0,TRUE,6
"11","KY989957","KT276257",8.29395,7.29737,TRUE,9,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"12","MF381273","MF381285",2.74948,6.99589,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"13","MF381275","KY514084",6.12632,8.71632,TRUE,6,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"14","MF381281","KT276260",5.55599,5.65455,TRUE,3,TRUE,12,FALSE,0,FALSE,0,FALSE,0
"15","KJ883144","KJ883146",3.77003,3.90144,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"16","KJ883137","JX140671",2.55887,3.21595,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"17","KJ883148","KJ883147",6.18502,5.86195,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"18","HM068552","KJ883143",5.23789,5.93604,TRUE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"19","KU168275","KU168276",16.5189,17.5182,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"20","AY231157","AF075703",23.6408,21.6395,TRUE,9,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"21","FJ670516","FJ900268",25.2759,30.0781,FALSE,0,TRUE,3,FALSE,0,FALSE,0,TRUE,3
"22","KU168274","HQ236575",26.7777,31.7743,TRUE,48,TRUE,6,FALSE,0,FALSE,0,FALSE,0
"23","MF381286","MF381271",13.2006,11.5524,TRUE,11,TRUE,39,FALSE,0,FALSE,0,FALSE,0
"24","DQ313239","MF381284",30.7043,52.0321,TRUE,5,TRUE,15,FALSE,0,TRUE,3,TRUE,6
